student_id,subject_id,difficulty,previous_score,days_until_exam,topics_remaining,available_hours_total,priority_weight,recommended_hours
7,0,1,77,48,5,6,2.5683,0.72
7,1,5,95,16,5,6,4.225,1.1
7,2,2,76,49,5,6,2.9841,0.83
7,3,4,95,6,2,6,3.9667,1.09
7,4,3,87,6,6,6,4.9267,1.35
7,5,2,86,11,6,6,3.7891,0.97
8,0,3,66,20,5,4,3.88,0.36
8,1,5,74,44,7,4,4.8473,0.47
8,2,4,53,13,7,4,5.4092,0.5
8,3,3,82,28,9,4,4.6171,0.45
8,4,5,73,46,6,4,4.5574,0.43
8,5,3,75,41,3,4,2.8439,0.27
8,6,2,88,41,4,4,2.4839,0.24
8,7,4,85,41,9,4,4.8439,0.48
8,8,5,78,53,6,4,4.4287,0.44
8,9,2,73,53,7,4,3.6287,0.34
9,0,1,81,56,7,8,3.0586,0.68
9,1,5,63,45,4,8,4.1622,0.92
9,2,2,73,30,8,8,4.0733,0.85
9,3,5,68,47,9,8,5.5528,1.2
9,4,3,76,38,2,8,2.5432,0.57
9,5,3,47,29,7,8,4.7048,1.07
9,6,1,76,48,7,8,3.1883,0.71
9,7,1,64,45,8,8,3.7422,0.82
9,8,3,71,10,9,8,5.48,1.14
10,0,3,69,15,8,8,4.8867,1.7
10,1,2,65,7,9,8,5.6286,2.07
10,2,2,87,45,4,8,2.4822,0.87
10,3,3,58,51,10,8,5.2361,1.82
10,4,3,69,32,6,8,3.9325,1.39
11,0,1,69,31,9,6,4.0426,0.65
11,1,1,71,7,9,6,5.1086,0.81
11,2,2,71,43,7,6,3.7126,0.6
11,3,1,68,26,7,6,3.5246,0.57
11,4,5,61,22,6,6,5.0345,0.83
11,5,4,72,21,6,6,4.4362,0.68
11,6,1,68,13,7,6,3.9092,0.6
11,7,2,92,56,8,6,3.5386,0.57
11,8,5,70,16,5,6,4.725,0.76
12,0,3,70,31,2,5,2.7226,1.97
12,1,1,91,58,4,5,1.9524,1.32
12,2,2,80,33,3,5,2.403,1.75
13,0,4,82,23,8,5,4.7948,1.44
13,1,4,85,23,4,5,3.5348,1.09
13,2,5,77,6,2,5,4.7267,1.46
13,3,1,67,9,4,5,3.3711,0.99
14,0,4,76,25,5,5,3.98,0.68
14,1,3,83,31,6,5,3.6626,0.62
14,2,1,91,22,7,5,3.1345,0.52
14,3,3,65,20,4,5,3.6,0.61
14,4,4,84,30,4,5,3.4533,0.57
14,5,3,84,57,4,5,2.8954,0.47
14,6,4,90,7,3,5,4.1286,0.65
14,7,3,74,7,7,5,5.2486,0.84
15,0,5,72,56,4,4,3.9386,1.86
15,1,4,82,28,6,4,4.1171,2.04
16,0,2,71,50,6,7,3.38,1.16
16,1,1,86,59,5,7,2.3495,0.85
16,2,2,79,45,7,7,3.5422,1.17
16,3,3,80,41,7,7,3.9439,1.32
16,4,2,54,57,3,7,2.7954,0.92
16,5,3,69,16,6,7,4.245,1.49
17,0,3,61,54,4,5,3.3652,0.84
17,1,1,71,27,7,5,3.4504,0.9
17,2,4,59,32,5,5,4.2325,1.15
17,3,1,93,13,7,5,3.4092,0.85
17,4,2,61,14,8,5,4.6943,1.28
18,0,1,75,53,3,7,1.9887,1.59
18,1,1,91,24,6,7,2.7967,2.46
18,2,4,78,35,4,7,3.5257,3.1
19,0,2,72,41,5,5,3.1039,2.47
19,1,3,90,37,4,5,2.8703,2.37
20,0,3,77,53,7,6,3.9487,0.59
20,1,4,60,9,6,6,5.3111,0.78
20,2,1,67,7,4,6,3.6886,0.53
20,3,3,80,5,5,6,5.1,0.73
20,4,5,73,53,7,6,4.8287,0.74
20,5,3,70,48,8,6,4.4083,0.63
20,6,3,64,46,7,6,4.2374,0.63
20,7,3,71,36,8,6,4.4578,0.65
20,8,5,84,37,7,6,4.6903,0.7
21,0,4,90,33,6,5,3.903,1.09
21,1,4,67,36,2,5,3.1378,0.93
21,2,5,75,39,5,5,4.2564,1.18
21,3,4,73,20,4,5,3.84,1.13
21,4,1,73,25,3,5,2.24,0.62
22,0,1,81,16,8,6,3.805,1.08
22,1,2,79,9,7,6,4.4311,1.26
22,2,4,87,35,5,6,3.6457,1.07
22,3,4,67,41,5,6,4.0039,1.17
22,4,5,70,22,4,6,4.2545,1.29
23,0,3,70,38,9,6,4.7632,0.91
23,1,1,69,27,4,6,2.5904,0.48
23,2,5,93,29,8,6,4.8848,0.95
23,3,4,95,14,6,6,4.2143,0.76
23,4,4,77,56,6,6,4.0386,0.76
23,5,4,76,43,5,6,3.8126,0.74
23,6,2,71,35,8,6,4.0657,0.74
23,7,1,85,16,8,6,3.725,0.68
24,0,2,93,39,2,3,1.7964,0.19
24,1,2,80,13,9,3,4.6692,0.46
24,2,2,85,17,3,3,2.5882,0.26
24,3,3,93,27,4,3,2.9104,0.29
24,4,3,85,11,4,3,3.6091,0.37
24,5,1,95,44,8,3,3.1273,0.31
24,6,2,78,11,2,3,2.7491,0.27
24,7,5,75,5,4,3,5.7,0.6
24,8,1,77,58,4,3,2.2324,0.23
25,0,5,59,13,5,3,5.0892,0.71
25,1,4,89,13,4,3,3.7892,0.52
25,2,5,74,38,8,3,5.1832,0.68
25,3,4,56,43,7,3,4.8126,0.68
25,4,2,70,17,5,3,3.4882,0.46
26,0,1,77,7,7,8,4.3886,0.97
26,1,2,76,60,8,8,3.8467,0.84
26,2,5,84,50,5,8,4.02,0.86
26,3,2,77,54,7,8,3.5452,0.8
26,4,3,61,40,4,8,3.43,0.72
26,5,3,75,47,8,8,4.3128,0.92
26,6,1,84,8,10,8,4.97,1.04
26,7,4,67,24,8,8,5.0767,1.09
26,8,1,83,19,5,8,2.7663,0.61
27,0,5,60,48,6,3,4.8083,1.03
27,1,5,71,54,10,3,5.7652,1.21
27,2,2,81,18,7,3,3.8356,0.78
28,0,5,72,34,9,5,5.5541,1.23
28,1,2,70,14,8,5,4.5143,1.01
28,2,5,58,9,8,5,6.3511,1.52
28,3,5,74,45,8,5,5.1422,1.21
29,0,3,73,12,8,4,4.9733,0.55
29,1,2,87,22,6,4,3.3145,0.37
29,2,5,73,39,8,4,5.1964,0.56
29,3,2,92,25,6,4,3.16,0.35
29,4,1,72,53,2,4,1.7487,0.19
29,5,1,81,14,7,4,3.5943,0.42
29,6,2,85,52,3,4,2.1923,0.24
29,7,4,80,19,4,4,3.7263,0.43
29,8,2,76,11,4,4,3.3891,0.4
29,9,5,77,57,6,4,4.4354,0.49
30,0,1,68,43,8,7,3.6726,0.84
30,1,3,81,34,7,7,3.9741,0.95
30,2,3,92,53,5,7,3.0487,0.73
30,3,1,72,29,7,7,3.4048,0.75
30,4,4,64,28,7,7,4.7771,1.05
30,5,1,89,41,6,7,2.6639,0.62
30,6,2,85,27,9,7,4.1704,0.96
30,7,4,69,47,8,7,4.8328,1.07
31,0,5,84,20,5,4,4.32,0.81
31,1,5,77,19,6,4,4.7863,0.96
31,2,4,61,36,5,4,4.1578,0.86
31,3,1,71,47,7,4,3.2928,0.65
31,4,3,90,36,7,4,3.7778,0.74
32,0,5,84,15,8,4,5.3867,1.62
32,1,5,72,56,3,4,3.6386,1.05
32,2,5,88,29,6,4,4.3848,1.37
33,0,5,74,31,6,5,4.6426,0.77
33,1,3,76,25,6,5,3.88,0.67
33,2,5,85,43,5,5,4.0326,0.67
33,3,4,55,6,3,5,5.0667,0.87
33,4,1,70,30,4,5,2.5333,0.42
33,5,5,78,49,7,5,4.7441,0.8
33,6,5,91,18,4,5,3.9356,0.69
34,0,4,91,56,7,5,4.0586,1.03
34,1,2,84,55,3,5,2.2018,0.53
34,2,2,93,56,2,5,1.7186,0.44
34,3,5,76,33,6,5,4.583,1.15
34,4,5,92,17,5,5,4.2482,1.02
34,5,4,95,46,4,5,3.1174,0.81
35,0,5,80,8,3,6,4.55,0.73
35,1,4,83,60,6,6,3.9067,0.63
35,2,4,77,56,6,6,4.0386,0.65
35,3,2,91,27,8,6,3.7504,0.59
35,4,3,87,36,8,6,4.1378,0.69
35,5,2,91,48,6,6,2.9883,0.48
35,6,4,78,37,4,6,3.5103,0.56
35,7,4,83,48,4,6,3.3483,0.54
35,8,1,83,51,6,6,2.7361,0.46
35,9,4,77,29,6,6,4.2048,0.65
36,0,1,59,52,4,7,2.6123,1.73
36,1,1,51,13,6,7,3.9492,2.44
36,2,3,78,13,7,7,4.5092,2.81
37,0,5,66,44,6,8,4.7073,2.0
37,1,2,82,7,8,8,4.9886,2.27
37,2,3,80,28,9,8,4.6571,2.13
37,3,2,69,58,8,8,3.9924,1.67
38,0,2,80,14,8,4,4.3143,1.05
38,1,1,73,8,5,4,3.69,0.92
38,2,2,76,38,7,4,3.6432,0.9
38,3,1,74,10,7,4,4.02,1.04
39,0,5,79,17,5,8,4.5082,3.15
39,1,3,83,51,3,8,2.6361,1.97
39,2,5,95,46,5,8,3.8174,2.67
40,0,2,92,37,6,3,3.0303,0.87
40,1,3,87,24,5,3,3.3767,0.94
40,2,2,63,11,5,3,3.9491,1.1
41,0,1,76,30,6,3,3.0133,0.84
41,1,5,83,27,8,3,5.1104,1.38
41,2,2,69,54,5,3,3.1052,0.87
42,0,5,73,7,9,6,6.6686,1.69
42,1,5,53,40,8,6,5.59,1.38
42,2,5,93,18,7,6,4.7956,1.18
42,3,1,66,26,7,6,3.5646,0.87
42,4,4,69,57,4,6,3.5954,0.89
43,0,1,73,52,8,5,3.5323,0.87
43,1,1,74,34,7,5,3.3141,0.87
43,2,5,79,35,4,5,3.9057,0.97
43,3,1,67,49,10,5,4.2641,1.05
43,4,4,67,28,6,5,4.4171,1.17
44,0,5,73,33,5,6,4.343,1.43
44,1,2,84,14,4,6,3.0343,1.02
44,2,1,71,39,6,6,3.0364,1.0
44,3,3,93,50,6,6,3.34,1.06
44,4,4,80,20,8,6,4.9,1.6
45,0,3,67,28,6,3,4.0171,0.75
45,1,1,95,12,3,3,2.2333,0.43
45,2,1,79,24,6,3,3.0367,0.58
45,3,2,86,22,4,3,2.7345,0.52
45,4,3,69,46,4,3,3.2374,0.65
46,0,5,77,6,7,4,6.2267,1.01
46,1,4,63,11,3,4,4.1491,0.64
46,2,5,76,40,8,4,5.13,0.81
46,3,5,85,60,4,4,3.6667,0.56
46,4,1,85,48,3,4,1.8083,0.3
46,5,3,85,41,8,4,4.1439,0.64
47,0,4,72,16,2,7,3.385,1.09
47,1,5,75,36,5,7,4.2778,1.33
47,2,2,69,21,5,7,3.3962,1.05
47,3,5,77,37,5,7,4.2303,1.4
47,4,3,95,20,7,7,3.9,1.29
47,5,1,75,46,6,7,2.9174,0.91
48,0,3,80,42,4,3,3.0381,0.38
48,1,5,66,45,5,3,4.4022,0.51
48,2,2,80,18,6,3,3.5556,0.44
48,3,3,66,35,7,3,4.2657,0.49
48,4,1,86,41,5,3,2.4239,0.29
48,5,3,89,27,5,3,3.2904,0.4
48,6,5,88,23,5,3,4.1748,0.5
49,0,1,71,42,4,3,2.4181,0.32
49,1,1,75,24,7,3,3.4167,0.44
49,2,3,78,47,10,3,4.8528,0.67
49,3,1,88,41,6,3,2.6839,0.36
49,4,3,77,50,2,3,2.46,0.33
49,5,4,78,55,4,3,3.4218,0.45
49,6,3,91,39,5,3,3.1364,0.4
50,0,2,85,43,9,8,4.0326,0.8
50,1,3,82,60,5,8,3.2267,0.59
50,2,5,54,8,5,8,5.67,1.08
50,3,3,80,43,10,8,4.8326,0.89
50,4,3,82,60,8,8,4.1267,0.79
50,5,2,62,5,3,8,4.46,0.88
50,6,5,92,43,4,8,3.5926,0.71
50,7,4,67,22,7,8,4.8145,0.96
50,8,2,72,31,9,8,4.3826,0.83
50,9,1,82,36,6,8,2.8378,0.52
51,0,4,64,46,6,7,4.3374,1.09
51,1,4,82,15,5,7,4.1267,1.02
51,2,1,71,54,7,7,3.2652,0.79
51,3,3,70,40,6,7,3.85,0.94
51,4,2,77,37,6,7,3.3303,0.78
51,5,4,83,49,8,7,4.5441,1.1
51,6,4,78,58,10,7,5.2124,1.26
52,0,4,66,52,6,7,4.2723,0.95
52,1,2,72,18,4,7,3.1156,0.7
52,2,3,59,25,6,7,4.22,1.02
52,3,4,81,51,4,7,3.3761,0.79
52,4,4,63,37,2,7,3.2103,0.77
52,5,4,68,58,6,7,4.2124,1.0
52,6,2,92,28,3,7,2.2171,0.49
52,7,4,59,7,6,7,5.6486,1.24
53,0,4,76,21,5,6,4.0562,1.37
53,1,3,79,18,10,6,5.1756,1.78
53,2,4,64,10,3,6,4.22,1.39
53,3,2,84,16,8,6,4.145,1.4
54,0,4,74,49,4,4,3.5241,0.65
54,1,5,72,54,3,4,3.6452,0.68
54,2,2,85,7,6,4,4.3286,0.8
54,3,4,95,8,5,4,4.45,0.86
54,4,4,58,13,8,4,5.6092,1.08
55,0,1,70,45,6,6,3.0222,2.61
55,1,2,75,10,5,6,3.8,3.32
56,0,5,61,21,5,3,4.7562,0.57
56,1,5,74,38,6,3,4.5832,0.58
56,2,4,72,23,7,3,4.6948,0.59
56,3,4,77,8,8,3,5.71,0.7
56,4,3,62,22,7,3,4.5145,0.58
57,0,4,86,41,5,5,3.6239,1.13
57,1,4,81,5,7,5,6.08,1.9
57,2,2,63,54,5,5,3.2252,1.0
57,3,4,79,47,5,5,3.7328,1.13
58,0,3,65,15,10,3,5.5667,1.23
58,1,5,74,41,6,3,4.5639,0.96
58,2,3,59,51,4,3,3.4161,0.73
59,0,4,71,7,5,8,5.1086,2.18
59,1,4,84,33,4,8,3.423,1.56
59,2,5,72,28,8,8,5.3171,2.48
59,3,4,84,30,6,8,4.0533,1.89
60,0,3,85,8,7,4,4.85,1.77
60,1,3,86,39,6,4,3.5364,1.26
60,2,4,95,31,3,4,2.9226,1.06
61,0,5,71,21,3,8,3.9562,1.21
61,1,2,76,32,5,8,3.0925,0.99
61,2,5,84,43,4,8,3.7526,1.2
61,3,3,77,33,4,8,3.163,0.99
61,4,2,82,42,8,8,3.7981,1.17
61,5,4,81,58,8,8,4.5524,1.47
61,6,4,79,53,5,8,3.7087,1.17
62,0,1,79,24,8,3,3.6367,0.31
62,1,5,69,18,7,3,5.2756,0.48
62,2,2,77,51,5,3,2.9561,0.26
62,3,3,74,45,5,3,3.4422,0.3
62,4,4,82,30,5,3,3.7933,0.32
62,5,1,58,9,3,3,3.2511,0.29
62,6,3,78,30,4,3,3.1733,0.29
62,7,4,88,9,5,3,4.4511,0.38
62,8,4,87,51,5,3,3.5561,0.33
63,0,1,60,28,6,3,3.3571,0.26
63,1,1,74,30,6,3,3.0533,0.24
63,2,1,75,24,3,3,2.2167,0.17
63,3,1,79,34,8,3,3.5141,0.29
63,4,5,62,33,8,3,5.463,0.43
63,5,3,60,38,7,3,4.3632,0.35
63,6,3,70,32,8,3,4.5125,0.36
63,7,4,71,41,4,3,3.6239,0.28
63,8,4,78,55,4,3,3.4218,0.28
63,9,5,61,48,6,3,4.7883,0.37
64,0,2,70,41,5,4,3.1439,0.3
64,1,5,65,10,4,4,4.9,0.48
64,2,1,82,31,4,4,2.2826,0.23
64,3,3,57,18,5,4,4.1156,0.38
64,4,1,73,51,4,4,2.3361,0.24
64,5,5,61,24,10,4,6.1967,0.6
64,6,3,59,10,9,4,5.72,0.58
64,7,3,82,32,7,4,3.9725,0.4
64,8,4,74,19,3,4,3.5463,0.33
64,9,4,94,35,10,4,5.0057,0.48
65,0,4,76,23,7,3,4.6148,0.44
65,1,3,86,59,5,3,3.1495,0.31
65,2,4,82,42,8,3,4.5981,0.45
65,3,5,84,12,4,3,4.3533,0.44
65,4,5,80,56,6,3,4.3786,0.42
65,5,1,71,40,4,3,2.43,0.25
65,6,2,71,56,5,3,3.0586,0.31
65,7,5,66,52,4,3,4.0723,0.39
66,0,5,91,47,5,8,3.8928,1.07
66,1,4,75,26,5,8,3.9846,1.18
66,2,3,76,59,9,8,4.5495,1.26
66,3,4,72,58,4,8,3.5324,1.0
66,4,1,75,10,3,8,2.8,0.79
66,5,5,60,41,6,8,4.8439,1.34
66,6,2,78,14,8,8,4.3543,1.2
67,0,5,87,19,2,6,3.3863,0.93
67,1,5,84,14,2,6,3.6343,0.95
67,2,4,68,13,7,6,5.1092,1.36
67,3,2,82,14,5,6,3.3743,0.9
67,4,4,87,25,5,6,3.76,1.03
67,5,4,89,48,2,6,2.6283,0.75
68,0,3,95,45,6,7,3.3222,1.15
68,1,4,95,33,6,7,3.803,1.41
68,2,5,85,53,6,7,4.2887,1.55
68,3,2,64,16,4,7,3.345,1.18
68,4,5,75,45,6,7,4.5222,1.67
69,0,4,95,12,5,6,4.0333,0.73
69,1,4,70,51,10,6,5.3961,0.96
69,2,3,63,54,8,6,4.5252,0.83
69,3,3,65,43,8,6,4.5326,0.78
69,4,5,47,51,11,6,6.5561,1.19
69,5,2,59,55,8,6,4.2018,0.72
69,6,2,68,12,9,6,4.9733,0.91
70,0,5,63,7,6,3,5.9686,0.77
70,1,2,74,6,5,3,4.4867,0.56
70,2,4,58,52,4,3,3.8323,0.5
70,3,5,86,58,7,3,4.5524,0.59
70,4,3,72,57,9,3,4.6354,0.6
71,0,3,83,14,8,4,4.6543,0.42
71,1,3,71,42,8,4,4.4181,0.43
71,2,3,43,60,7,4,4.6067,0.44
71,3,5,60,8,8,4,6.45,0.58
71,4,4,77,13,9,4,5.5292,0.51
71,5,3,76,18,9,4,4.9356,0.47
71,6,5,73,52,8,4,5.1323,0.49
71,7,3,76,52,5,4,3.3723,0.32
71,8,4,73,26,6,4,4.3246,0.41
72,0,5,66,31,8,6,5.4026,1.89
72,1,4,70,38,5,6,3.9632,1.36
72,2,3,84,40,2,6,2.37,0.82
72,3,3,76,27,2,6,2.6504,0.92
72,4,1,79,21,3,6,2.1962,0.78
73,0,4,76,38,8,8,4.7432,1.02
73,1,1,84,53,10,8,3.9087,0.87
73,2,1,67,19,7,8,3.6863,0.81
73,3,3,72,12,9,8,5.2933,1.25
73,4,3,53,56,9,8,5.0186,1.13
73,5,4,81,40,6,8,4.03,0.88
73,6,1,66,40,9,8,4.03,0.91
73,7,5,70,45,6,8,4.6222,1.01
74,0,3,80,10,5,3,4.1,0.55
74,1,5,79,36,10,3,5.6978,0.81
74,2,2,91,51,8,3,3.5761,0.47
74,3,4,83,10,6,3,4.74,0.66
74,4,4,80,14,3,3,3.6143,0.52
75,0,1,70,56,4,4,2.3786,0.33
75,1,4,65,35,9,4,5.2857,0.77
75,2,2,68,56,7,4,3.7186,0.53
75,3,2,53,16,8,4,4.765,0.65
75,4,4,63,22,8,4,5.1945,0.73
75,5,4,77,39,7,4,4.4164,0.62
75,6,2,67,38,3,4,2.6232,0.36
76,0,1,92,60,6,7,2.5267,0.53
76,1,4,86,29,7,7,4.3248,0.87
76,2,3,62,58,4,7,3.3324,0.68
76,3,5,64,15,5,7,4.8867,1.01
76,4,2,84,41,5,7,2.8639,0.59
76,5,4,76,32,4,7,3.5925,0.72
76,6,1,74,50,4,7,2.32,0.45
76,7,1,73,49,4,7,2.3441,0.45
76,8,5,83,52,9,7,5.2323,1.05
76,9,2,61,42,5,7,3.3181,0.69
77,0,1,77,10,4,7,3.06,1.16
77,1,1,92,60,7,7,2.8267,1.06
77,2,1,64,48,6,7,3.1283,1.14
77,3,5,76,28,4,7,4.0371,1.42
77,4,3,95,42,6,7,3.3381,1.27
77,5,1,82,12,4,7,2.7933,1.05
78,0,3,80,30,6,8,3.7333,1.76
78,1,3,81,39,6,8,3.6364,1.69
78,2,2,79,16,6,8,3.645,1.74
78,3,3,95,5,8,8,5.7,2.71
79,0,5,75,51,6,3,4.4961,1.13
79,1,3,79,19,4,3,3.3463,0.85
79,2,3,76,36,8,3,4.3578,1.07
80,0,5,63,47,7,8,5.0528,3.92
80,1,1,74,31,12,8,4.8426,3.96
81,0,1,81,24,6,8,2.9967,0.6
81,1,3,84,33,11,8,5.123,1.0
81,2,3,43,10,6,8,5.14,0.98
81,3,3,72,59,5,8,3.4295,0.72
81,4,2,66,27,6,8,3.6504,0.7
81,5,2,77,56,10,8,4.4386,0.86
81,6,3,88,31,10,8,4.7626,0.95
81,7,2,70,59,11,8,4.8695,0.96
81,8,1,70,32,5,8,2.8125,0.57
81,9,1,61,28,4,8,2.7371,0.56
82,0,5,83,48,2,5,3.1483,1.3
82,1,1,79,50,6,5,2.82,1.18
82,2,3,82,42,2,5,2.3981,1.04
82,3,4,72,40,4,5,3.61,1.52
83,0,3,67,31,6,6,3.9826,0.75
83,1,1,69,50,7,6,3.32,0.64
83,2,5,85,41,9,6,5.2439,1.02
83,3,4,69,7,6,6,5.4486,1.1
83,4,1,92,51,7,6,2.8561,0.54
83,5,5,69,56,6,6,4.5986,0.9
83,6,3,69,37,9,6,4.7903,0.96
84,0,1,80,59,6,6,2.7695,2.37
84,1,4,65,35,6,6,4.3857,3.56
85,0,3,74,53,5,3,3.4087,1.48
85,1,5,81,22,3,3,3.7345,1.52
86,0,2,74,15,7,3,4.0867,0.39
86,1,1,86,45,6,3,2.7022,0.26
86,2,1,81,12,4,3,2.8133,0.28
86,3,5,71,56,3,3,3.6586,0.37
86,4,3,75,22,5,3,3.6545,0.37
86,5,5,74,30,2,3,3.4533,0.34
86,6,4,62,50,6,3,4.36,0.41
86,7,3,76,44,4,3,3.1073,0.29
86,8,2,88,36,5,3,2.8178,0.27
87,0,1,89,37,8,7,3.2903,0.91
87,1,2,72,57,7,7,3.6354,1.03
87,2,4,67,51,7,7,4.5561,1.23
87,3,4,59,22,5,7,4.3745,1.2
87,4,3,70,33,9,7,4.803,1.3
87,5,1,72,32,9,7,3.9725,1.17
88,0,1,86,37,2,3,1.5503,0.19
88,1,5,91,40,2,3,3.03,0.39
88,2,5,94,38,9,3,5.0832,0.64
88,3,3,93,46,4,3,2.7574,0.35
88,4,3,72,30,7,3,4.1933,0.53
88,5,3,95,27,7,3,3.7704,0.46
88,6,2,64,52,7,3,3.8123,0.46
89,0,5,87,17,7,7,4.9482,1.48
89,1,5,78,54,4,7,3.8252,1.17
89,2,3,81,36,8,7,4.2578,1.36
89,3,3,55,8,8,7,5.75,1.9
89,4,3,94,27,6,7,3.4904,1.13
90,0,2,72,44,9,7,4.2873,1.03
90,1,3,92,46,9,7,4.2774,1.03
90,2,1,88,30,5,7,2.4733,0.59
90,3,3,64,43,4,7,3.3526,0.86
90,4,1,87,43,6,7,2.6926,0.67
90,5,5,89,12,6,7,4.8533,1.22
90,6,1,64,26,6,7,3.3046,0.79
90,7,2,81,28,4,7,2.7371,0.7
91,0,5,83,24,4,3,3.9567,0.4
91,1,3,69,45,7,3,4.1422,0.4
91,2,3,81,14,8,3,4.6943,0.45
91,3,4,91,22,5,3,3.7345,0.36
91,4,4,90,19,5,3,3.8263,0.38
91,5,4,95,44,2,3,2.5273,0.25
91,6,1,75,10,8,3,4.3,0.41
91,7,2,90,17,4,3,2.7882,0.29
92,0,2,92,35,4,6,2.4457,0.39
92,1,4,77,54,4,6,3.4452,0.53
92,2,4,72,35,8,6,4.8457,0.75
92,3,4,81,42,8,6,4.6181,0.74
92,4,4,71,10,7,6,5.28,0.81
92,5,1,80,37,6,6,2.8703,0.45
92,6,2,78,40,4,6,2.69,0.41
92,7,4,86,31,7,6,4.3026,0.69
92,8,2,81,45,8,6,3.8022,0.61
92,9,5,95,7,3,6,4.4286,0.7
93,0,4,83,41,7,5,4.2839,0.69
93,1,1,89,51,6,5,2.6161,0.41
93,2,2,73,13,8,5,4.5092,0.73
93,3,1,80,54,5,5,2.4852,0.4
93,4,1,94,14,3,5,2.1343,0.34
93,5,2,79,39,2,5,2.0764,0.34
93,6,3,86,14,5,5,3.6943,0.59
93,7,5,95,11,4,5,4.2091,0.66
93,8,3,70,16,2,5,3.025,0.48
93,9,3,79,59,3,5,2.6895,0.42
94,0,5,76,27,6,6,4.6504,1.47
94,1,1,79,24,9,6,3.9367,1.22
94,2,2,58,34,9,6,4.6341,1.45
94,3,3,78,26,4,6,3.2246,0.95
94,4,2,77,51,5,6,2.9561,0.87
95,0,2,73,26,4,8,2.9246,0.64
95,1,1,88,7,3,8,2.9686,0.64
95,2,4,73,20,8,8,5.04,1.17
95,3,5,94,34,7,8,4.5141,1.0
95,4,2,87,13,8,8,4.2292,0.91
95,5,5,66,25,5,8,4.58,1.06
95,6,1,68,52,8,8,3.6323,0.78
95,7,2,81,58,9,8,4.0524,0.9
95,8,2,67,35,5,8,3.2457,0.74
96,0,2,77,38,8,6,3.9232,0.75
96,1,3,77,34,5,6,3.4541,0.7
96,2,5,67,17,6,6,5.0482,0.99
96,3,3,77,27,7,6,4.1304,0.78
96,4,5,67,13,6,6,5.2292,0.98
96,5,4,84,11,7,6,4.9291,0.97
96,6,5,90,42,7,6,4.5381,0.91
97,0,5,75,6,4,3,5.3667,0.57
97,1,5,78,39,8,3,5.0964,0.51
97,2,3,76,35,10,3,4.9657,0.53
97,3,2,76,43,3,3,2.4126,0.25
97,4,2,95,9,6,3,3.8111,0.39
97,5,2,89,48,2,3,1.8283,0.19
97,6,1,81,28,4,3,2.3371,0.25
97,7,1,84,24,7,3,3.2367,0.34
98,0,3,84,34,6,4,3.6141,2.45
98,1,1,95,54,6,4,2.4852,1.65
99,0,5,76,9,4,8,4.7911,1.44
99,1,1,84,32,5,8,2.5325,0.73
99,2,4,72,59,4,8,3.5295,1.09
99,3,4,93,13,6,8,4.3092,1.24
99,4,4,56,32,6,8,4.5925,1.34
99,5,2,69,15,4,8,3.2867,0.94
99,6,2,72,17,7,8,4.0482,1.24
100,0,2,76,57,7,6,3.5554,0.67
100,1,1,67,38,7,6,3.4232,0.64
